State,Model Year,Make,Electric Vehicle Type,Electric Range,Base MSRP
WA,2023,HYUNDAI,PHEV,33,0
WA,2020,BMW,PHEV,17,0
WA,2017,TESLA,BEV,210,0
WA,2014,CHEVROLET,PHEV,38,0
WA,2018,KIA,PHEV,26,0
WA,2021,BMW,PHEV,18,0
WA,2015,CHEVROLET,PHEV,38,0
WA,2019,AUDI,BEV,204,0
WA,2020,TESLA,BEV,266,0
WA,2016,VOLKSWAGEN,BEV,83,0
WA,2019,TESLA,BEV,289,0
WA,2020,TESLA,BEV,293,0
WA,2020,NISSAN,BEV,149,0
WA,2020,NISSAN,BEV,149,0
WA,2020,TESLA,BEV,289,0
WA,2018,HONDA,PHEV,47,0
WA,2021,VOLVO,PHEV,18,0
WA,2024,VOLVO,PHEV,41,0
WA,2015,BMW,BEV,81,0
WA,2020,NISSAN,BEV,149,0
WA,2015,BMW,PHEV,72,0
WA,2023,KIA,PHEV,34,0
WA,2018,TESLA,BEV,238,0
WA,2024,KIA,PHEV,32,0
WA,2024,AUDI,PHEV,23,0
WA,2013,CHEVROLET,PHEV,38,0
WA,2023,BMW,PHEV,30,0
WA,2016,VOLVO,PHEV,13,0
WA,2018,PORSCHE,PHEV,16,0
WA,2024,TOYOTA,PHEV,42,0
WA,2020,AUDI,PHEV,20,0
WA,2020,TESLA,BEV,291,0
WA,2020,TESLA,BEV,266,0
WA,2015,TESLA,BEV,208,0
WA,2022,VOLVO,PHEV,18,0
WA,2023,TOYOTA,PHEV,42,0
WA,2020,TESLA,BEV,322,0
WA,2021,TOYOTA,PHEV,42,0
WA,2021,JEEP,PHEV,25,0
WA,2019,FORD,PHEV,26,0
WA,2013,NISSAN,BEV,75,0
WA,2016,BMW,PHEV,14,0
WA,2018,CHRYSLER,PHEV,33,0
WA,2019,CHEVROLET,BEV,238,0
WA,2023,JEEP,PHEV,21,0
WA,2019,JAGUAR,BEV,234,0
WA,2019,HYUNDAI,BEV,258,0
WA,2015,TESLA,BEV,208,0
WA,2018,KIA,PHEV,26,0
WA,2023,TOYOTA,PHEV,39,0
WA,2020,TESLA,BEV,291,0
WA,2023,JEEP,PHEV,25,0
WA,2020,TESLA,BEV,322,0
WA,2022,TOYOTA,PHEV,42,0
WA,2021,JEEP,PHEV,21,0
WA,2018,BMW,PHEV,13,0
WA,2014,SMART,BEV,58,0
WA,2024,LAND ROVER,PHEV,59,0
WA,2016,NISSAN,BEV,84,0
WA,2014,FORD,PHEV,19,0
WA,2018,TESLA,BEV,215,0
WA,2016,NISSAN,BEV,84,0
WA,2016,FORD,PHEV,19,0
WA,2014,BMW,BEV,81,0
WA,2015,NISSAN,BEV,84,0
WA,2017,BMW,BEV,81,0
WA,2019,VOLKSWAGEN,BEV,125,0
WA,2022,FORD,PHEV,38,0
WA,2020,CHEVROLET,BEV,259,0
WA,2020,TESLA,BEV,293,0
WA,2024,LEXUS,PHEV,37,0
WA,2023,JEEP,PHEV,25,0
WA,2024,JEEP,PHEV,21,0
WA,2014,TESLA,BEV,208,69900
WA,2018,CHEVROLET,BEV,238,0
WA,2014,FIAT,BEV,87,0
WA,2015,NISSAN,BEV,84,0
WA,2019,NISSAN,BEV,150,0
WA,2023,BMW,PHEV,20,0
WA,2016,BMW,PHEV,14,0
WA,2020,TESLA,BEV,322,0
WA,2021,KIA,PHEV,26,0
WA,2018,CHRYSLER,PHEV,33,0
WA,2016,VOLVO,PHEV,13,0
WA,2019,NISSAN,BEV,150,0
WA,2018,TOYOTA,PHEV,25,0
WA,2022,FORD,PHEV,38,0
WA,2024,MAZDA,PHEV,26,0
WA,2021,AUDI,PHEV,18,0
WA,2019,CHEVROLET,BEV,238,0
WA,2019,TESLA,BEV,289,0
WA,2019,MITSUBISHI,PHEV,22,0
WA,2019,CHRYSLER,PHEV,32,39995
WA,2023,TOYOTA,PHEV,42,0
WA,2014,FORD,PHEV,19,0
WA,2017,FORD,PHEV,20,0
WA,2024,TOYOTA,PHEV,39,0
WA,2016,FORD,PHEV,19,0
WA,2018,CHEVROLET,PHEV,53,0
WA,2022,TOYOTA,PHEV,25,0
WA,2021,BMW,PHEV,18,0
WA,2020,TESLA,BEV,322,0
WA,2016,TESLA,BEV,200,0
WA,2022,KIA,PHEV,26,0
WA,2022,BMW,PHEV,30,0
WA,2014,TESLA,BEV,208,69900
WA,2018,CHRYSLER,PHEV,33,0
WA,2013,FORD,PHEV,19,0
WA,2024,MAZDA,PHEV,26,0
WA,2016,TESLA,BEV,200,0
WA,2025,BMW,PHEV,40,0
WA,2013,TOYOTA,PHEV,6,0
WA,2016,FORD,PHEV,19,0
WA,2016,FIAT,BEV,84,0
WA,2017,FORD,PHEV,20,0
WA,2020,TESLA,BEV,266,0
WA,2012,NISSAN,BEV,73,0
WA,2024,KIA,PHEV,34,0
WA,2023,JEEP,PHEV,25,0
WA,2024,TOYOTA,PHEV,42,0
WA,2020,LINCOLN,PHEV,21,0
WA,2016,TESLA,BEV,210,0
WA,2014,TESLA,BEV,208,69900
WA,2025,VOLVO,PHEV,41,0
WA,2014,NISSAN,BEV,84,0
WA,2022,CHRYSLER,PHEV,32,0
WA,2019,JAGUAR,BEV,234,0
WA,2013,TESLA,BEV,208,69900
WA,2022,FORD,PHEV,38,0
WA,2020,CHRYSLER,PHEV,32,0
WA,2015,CHEVROLET,PHEV,38,0
WA,2018,HONDA,PHEV,47,0
WA,2021,VOLVO,PHEV,18,0
WA,2018,TESLA,BEV,249,0
WA,2013,TESLA,BEV,208,69900
WA,2018,TESLA,BEV,238,0
WA,2014,TOYOTA,PHEV,6,0
WA,2021,TOYOTA,PHEV,42,0
WA,2019,HYUNDAI,BEV,258,0
WA,2016,HYUNDAI,PHEV,27,0
WA,2015,TESLA,BEV,208,0
WA,2019,TESLA,BEV,220,0
WA,2019,TESLA,BEV,220,0
WA,2017,TESLA,BEV,200,0
WA,2021,VOLVO,PHEV,18,0
WA,2019,MITSUBISHI,PHEV,22,0
WA,2020,FORD,PHEV,26,0
WA,2020,CHEVROLET,BEV,259,0
WA,2018,TESLA,BEV,238,0
WA,2018,TESLA,BEV,215,0
WA,2024,TOYOTA,PHEV,42,0
WA,2018,TESLA,BEV,215,0
WA,2017,CHEVROLET,PHEV,53,0
WA,2017,TESLA,BEV,210,0
WA,2022,TOYOTA,PHEV,42,0
WA,2024,MITSUBISHI,PHEV,38,0
WA,2018,CHRYSLER,PHEV,33,0
WA,2022,TOYOTA,PHEV,42,0
WA,2022,VOLVO,PHEV,18,0
WA,2023,KIA,PHEV,34,0
WA,2019,KIA,BEV,239,0
WA,2023,JEEP,PHEV,21,0
WA,2015,CHEVROLET,PHEV,38,0
WA,2017,TESLA,BEV,210,0
WA,2022,VOLVO,PHEV,18,0
WA,2019,TESLA,BEV,220,0
WA,2012,NISSAN,BEV,73,0
WA,2024,VOLVO,PHEV,35,0
WA,2020,CHEVROLET,BEV,259,0
WA,2020,LAND ROVER,PHEV,19,0
WA,2024,CHRYSLER,PHEV,32,0
WA,2022,VOLVO,PHEV,18,0
WA,2017,BMW,PHEV,97,0
WA,2022,VOLVO,PHEV,35,0
WA,2021,BMW,PHEV,30,0
WA,2023,KIA,PHEV,34,0
WA,2015,NISSAN,BEV,84,0
WA,2018,TOYOTA,PHEV,25,0
WA,2017,CHEVROLET,PHEV,53,0
WA,2022,JEEP,PHEV,21,0
WA,2023,CHRYSLER,PHEV,32,0
WA,2020,CHEVROLET,BEV,259,0
WA,2015,TESLA,BEV,208,0
WA,2016,FORD,PHEV,19,0
WA,2023,BMW,PHEV,30,0
WA,2023,VOLVO,PHEV,35,0
WA,2015,BMW,PHEV,72,0
WA,2023,JEEP,PHEV,25,0
WA,2023,KIA,PHEV,34,0
